qa_uuid,qasrl_id,tokens,verb,question,answer,answer_range,verb_idx
2010~!~D1039-B-ADEG~!~4450~!~0~!~3~!~declared~!~3041,2010~!~D1039-B-ADEG~!~4450~!~0,"['The', 'Dutch', 'government', 'declared', 'war', 'on', 'Islamic', 'extremism', 'following', 'the', 'murder', 'of', 'Theo', 'van', 'Gogh', '.']",declared,Who declared something?,The Dutch government,0:2,3
2010~!~D1039-B-ADEG~!~4450~!~0~!~3~!~declared~!~3042,2010~!~D1039-B-ADEG~!~4450~!~0,"['The', 'Dutch', 'government', 'declared', 'war', 'on', 'Islamic', 'extremism', 'following', 'the', 'murder', 'of', 'Theo', 'van', 'Gogh', '.']",declared,What did someone declare?,war,4:4,3
2010~!~D1039-B-ADEG~!~4450~!~0~!~3~!~declared~!~3043,2010~!~D1039-B-ADEG~!~4450~!~0,"['The', 'Dutch', 'government', 'declared', 'war', 'on', 'Islamic', 'extremism', 'following', 'the', 'murder', 'of', 'Theo', 'van', 'Gogh', '.']",declared,When did someone declare something?,following the murder of Theo van Gogh,8:14,3
2010~!~D1039-B-ADEG~!~4450~!~0~!~8~!~following~!~3044,2010~!~D1039-B-ADEG~!~4450~!~0,"['The', 'Dutch', 'government', 'declared', 'war', 'on', 'Islamic', 'extremism', 'following', 'the', 'murder', 'of', 'Theo', 'van', 'Gogh', '.']",following,What followed something?,war on Islamic extremism,4:7,8
2010~!~D1039-B-ADEG~!~4450~!~0~!~8~!~following~!~3045,2010~!~D1039-B-ADEG~!~4450~!~0,"['The', 'Dutch', 'government', 'declared', 'war', 'on', 'Islamic', 'extremism', 'following', 'the', 'murder', 'of', 'Theo', 'van', 'Gogh', '.']",following,What was followed?,the murder of Theo van Gogh,9:14,8
2010~!~D1039-B-ADEG~!~4443~!~2~!~3~!~declared~!~3046,2010~!~D1039-B-ADEG~!~4443~!~2,"['The', 'government', 'has', 'declared', 'war', 'on', 'Islamic', 'extremism', ',', 'designating', 'extra', 'funds', 'for', 'the', 'intelligence', 'services', 'and', 'evaluating', 'current', 'laws', 'to', 'ease', 'crackdowns', 'on', 'violent', 'radical', 'Muslims', '.']",declared,Who has declared something?,The government,0:1,3
2010~!~D1039-B-ADEG~!~4443~!~2~!~3~!~declared~!~3047,2010~!~D1039-B-ADEG~!~4443~!~2,"['The', 'government', 'has', 'declared', 'war', 'on', 'Islamic', 'extremism', ',', 'designating', 'extra', 'funds', 'for', 'the', 'intelligence', 'services', 'and', 'evaluating', 'current', 'laws', 'to', 'ease', 'crackdowns', 'on', 'violent', 'radical', 'Muslims', '.']",declared,What has someone declared?,war,4:4,3
2010~!~D1039-B-ADEG~!~4443~!~2~!~9~!~designating~!~3048,2010~!~D1039-B-ADEG~!~4443~!~2,"['The', 'government', 'has', 'declared', 'war', 'on', 'Islamic', 'extremism', ',', 'designating', 'extra', 'funds', 'for', 'the', 'intelligence', 'services', 'and', 'evaluating', 'current', 'laws', 'to', 'ease', 'crackdowns', 'on', 'violent', 'radical', 'Muslims', '.']",designating,Who designated something?,The government,0:1,9
2010~!~D1039-B-ADEG~!~4443~!~2~!~9~!~designating~!~3049,2010~!~D1039-B-ADEG~!~4443~!~2,"['The', 'government', 'has', 'declared', 'war', 'on', 'Islamic', 'extremism', ',', 'designating', 'extra', 'funds', 'for', 'the', 'intelligence', 'services', 'and', 'evaluating', 'current', 'laws', 'to', 'ease', 'crackdowns', 'on', 'violent', 'radical', 'Muslims', '.']",designating,What was designated?,extra funds,10:11,9
2010~!~D1039-B-ADEG~!~4443~!~2~!~9~!~designating~!~3050,2010~!~D1039-B-ADEG~!~4443~!~2,"['The', 'government', 'has', 'declared', 'war', 'on', 'Islamic', 'extremism', ',', 'designating', 'extra', 'funds', 'for', 'the', 'intelligence', 'services', 'and', 'evaluating', 'current', 'laws', 'to', 'ease', 'crackdowns', 'on', 'violent', 'radical', 'Muslims', '.']",designating,What is something designated for?,the intelligence services,13:15,9
2010~!~D1039-B-ADEG~!~4443~!~2~!~17~!~evaluating~!~3051,2010~!~D1039-B-ADEG~!~4443~!~2,"['The', 'government', 'has', 'declared', 'war', 'on', 'Islamic', 'extremism', ',', 'designating', 'extra', 'funds', 'for', 'the', 'intelligence', 'services', 'and', 'evaluating', 'current', 'laws', 'to', 'ease', 'crackdowns', 'on', 'violent', 'radical', 'Muslims', '.']",evaluating,Who is evaluating something?,The government,0:1,17
2010~!~D1039-B-ADEG~!~4443~!~2~!~17~!~evaluating~!~3052,2010~!~D1039-B-ADEG~!~4443~!~2,"['The', 'government', 'has', 'declared', 'war', 'on', 'Islamic', 'extremism', ',', 'designating', 'extra', 'funds', 'for', 'the', 'intelligence', 'services', 'and', 'evaluating', 'current', 'laws', 'to', 'ease', 'crackdowns', 'on', 'violent', 'radical', 'Muslims', '.']",evaluating,What is being evaluated?,current laws,18:19,17
2010~!~D1039-B-ADEG~!~4443~!~2~!~17~!~evaluating~!~3053,2010~!~D1039-B-ADEG~!~4443~!~2,"['The', 'government', 'has', 'declared', 'war', 'on', 'Islamic', 'extremism', ',', 'designating', 'extra', 'funds', 'for', 'the', 'intelligence', 'services', 'and', 'evaluating', 'current', 'laws', 'to', 'ease', 'crackdowns', 'on', 'violent', 'radical', 'Muslims', '.']",evaluating,Why is someone evaluating something?,to ease crackdowns on violent radical Muslims,20:26,17
2010~!~D1039-B-ADEG~!~4443~!~2~!~21~!~ease~!~3054,2010~!~D1039-B-ADEG~!~4443~!~2,"['The', 'government', 'has', 'declared', 'war', 'on', 'Islamic', 'extremism', ',', 'designating', 'extra', 'funds', 'for', 'the', 'intelligence', 'services', 'and', 'evaluating', 'current', 'laws', 'to', 'ease', 'crackdowns', 'on', 'violent', 'radical', 'Muslims', '.']",ease,What eases something?,current laws,18:19,21
2010~!~D1039-B-ADEG~!~4443~!~2~!~21~!~ease~!~3055,2010~!~D1039-B-ADEG~!~4443~!~2,"['The', 'government', 'has', 'declared', 'war', 'on', 'Islamic', 'extremism', ',', 'designating', 'extra', 'funds', 'for', 'the', 'intelligence', 'services', 'and', 'evaluating', 'current', 'laws', 'to', 'ease', 'crackdowns', 'on', 'violent', 'radical', 'Muslims', '.']",ease,What is being eased?,crackdowns,22:22,21
2010~!~D1039-B-ADEG~!~4443~!~0~!~2~!~vowed~!~3056,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",vowed,Who vowed to do something?,The government,0:1,2
2010~!~D1039-B-ADEG~!~4443~!~0~!~2~!~vowed~!~3057,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",vowed,What did someone vow?,to hit back at Muslim extremism,3:8,2
2010~!~D1039-B-ADEG~!~4443~!~0~!~2~!~vowed~!~3058,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",vowed,What did someone vow to do?,hit back at Muslim extremism,4:8,2
2010~!~D1039-B-ADEG~!~4443~!~0~!~4~!~hit~!~3059,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",hit,Who hit something?,The government,0:1,4
2010~!~D1039-B-ADEG~!~4443~!~0~!~4~!~hit~!~3060,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",hit,What did someone hit something from?,Muslim extremism,7:8,4
2010~!~D1039-B-ADEG~!~4443~!~0~!~4~!~hit~!~3061,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",hit,How did someone hit something?,by setting aside extra funds for intelligence services,9:16,4
2010~!~D1039-B-ADEG~!~4443~!~0~!~10~!~setting~!~3062,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",setting,Who set something?,The government,0:1,10
2010~!~D1039-B-ADEG~!~4443~!~0~!~10~!~setting~!~3063,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",setting,What was set?,extra funds,12:13,10
2010~!~D1039-B-ADEG~!~4443~!~0~!~22~!~changing~!~3064,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",changing,Who is changing something?,The government,0:1,22
2010~!~D1039-B-ADEG~!~4443~!~0~!~22~!~changing~!~3065,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",changing,What is being changed?,legislation,23:23,22
2010~!~D1039-B-ADEG~!~4443~!~0~!~22~!~changing~!~3066,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",changing,Why is something being changed?,to make it easier to crack down on radical Muslims who use violence,24:36,22
2010~!~D1039-B-ADEG~!~4443~!~0~!~25~!~make~!~3067,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",make,What makes something?,changing legislation,22:23,25
2010~!~D1039-B-ADEG~!~4443~!~0~!~25~!~make~!~3068,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",make,What is being made?,it easier to crack down on radical Muslims who use violence,26:36,25
2010~!~D1039-B-ADEG~!~4443~!~0~!~29~!~crack~!~3069,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",crack,Who cracked up something?,The government,0:1,29
2010~!~D1039-B-ADEG~!~4443~!~0~!~29~!~crack~!~3070,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",crack,Who is being cracked something?,radical Muslims,32:33,29
2010~!~D1039-B-ADEG~!~4443~!~0~!~29~!~crack~!~3071,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",crack,What is being cracked?,radical Muslims who use violence,32:36,29
2010~!~D1039-B-ADEG~!~4443~!~0~!~35~!~use~!~3072,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",use,Who uses something?,radical Muslims,32:33,35
2010~!~D1039-B-ADEG~!~4443~!~0~!~35~!~use~!~3073,2010~!~D1039-B-ADEG~!~4443~!~0,"['The', 'government', 'vowed', 'to', 'hit', 'back', 'at', 'Muslim', 'extremism', 'by', 'setting', 'aside', 'extra', 'funds', 'for', 'intelligence', 'services', 'and', ',', 'if', 'necessary', ',', 'changing', 'legislation', 'to', 'make', 'it', 'easier', 'to', 'crack', 'down', 'on', 'radical', 'Muslims', 'who', 'use', 'violence', '.']",use,What does someone use?,violence,36:36,35
2010~!~D1039-B-ADEG~!~4457~!~0~!~4~!~charged~!~3074,2010~!~D1039-B-ADEG~!~4457~!~0,"['Four', 'other', 'suspects', 'were', 'charged', 'with', 'terrorist', 'conspiracy', '.']",charged,Who was charged with something?,Four other suspects,0:2,4
2010~!~D1039-B-ADEG~!~4457~!~0~!~4~!~charged~!~3075,2010~!~D1039-B-ADEG~!~4457~!~0,"['Four', 'other', 'suspects', 'were', 'charged', 'with', 'terrorist', 'conspiracy', '.']",charged,How was someone charged?,with terrorist conspiracy,5:7,4
2010~!~D1039-B-ADEG~!~4457~!~0~!~4~!~charged~!~3076,2010~!~D1039-B-ADEG~!~4457~!~0,"['Four', 'other', 'suspects', 'were', 'charged', 'with', 'terrorist', 'conspiracy', '.']",charged,What was someone charged with?,terrorist conspiracy,6:7,4
2010~!~D1039-B-ADEG~!~4444~!~1~!~3~!~charged~!~3077,2010~!~D1039-B-ADEG~!~4444~!~1,"['Four', 'others', 'were', 'charged', 'with', 'terrorist', '-', 'related', 'activities', 'and', 'a', 'fifth', 'will', 'be', 'charged', '.']",charged,Who was charged with something?,Four others,0:1,3
2010~!~D1039-B-ADEG~!~4444~!~1~!~3~!~charged~!~3078,2010~!~D1039-B-ADEG~!~4444~!~1,"['Four', 'others', 'were', 'charged', 'with', 'terrorist', '-', 'related', 'activities', 'and', 'a', 'fifth', 'will', 'be', 'charged', '.']",charged,How was someone charged?,with terrorist - related activities,4:8,3
2010~!~D1039-B-ADEG~!~4444~!~1~!~3~!~charged~!~3079,2010~!~D1039-B-ADEG~!~4444~!~1,"['Four', 'others', 'were', 'charged', 'with', 'terrorist', '-', 'related', 'activities', 'and', 'a', 'fifth', 'will', 'be', 'charged', '.']",charged,What was someone charged with?,terrorist - related activities,5:8,3
2010~!~D1039-B-ADEG~!~4444~!~1~!~7~!~related~!~3080,2010~!~D1039-B-ADEG~!~4444~!~1,"['Four', 'others', 'were', 'charged', 'with', 'terrorist', '-', 'related', 'activities', 'and', 'a', 'fifth', 'will', 'be', 'charged', '.']",related,What is related?,activities,8:8,7
2010~!~D1039-B-ADEG~!~4444~!~1~!~14~!~charged~!~3081,2010~!~D1039-B-ADEG~!~4444~!~1,"['Four', 'others', 'were', 'charged', 'with', 'terrorist', '-', 'related', 'activities', 'and', 'a', 'fifth', 'will', 'be', 'charged', '.']",charged,Who is be charged?,Four others,0:1,14
2010~!~D1008-B-BDEH~!~4476~!~0~!~7~!~hamper~!~3082,2010~!~D1008-B-BDEH~!~4476~!~0,"['Multiple', 'challenges', ',', 'organizations', ',', 'and', 'viewpoints', 'hamper', 'attempts', 'to', 'reverse', 'decline', 'and', 'improve', 'conditions', 'of', 'the', 'Chesapeake', 'Bay', 'and', 'its', 'tributaries', '.']",hamper,What hampers something?,"Multiple challenges , organizations , and viewpoints",0:6,7
2010~!~D1008-B-BDEH~!~4476~!~0~!~7~!~hamper~!~3083,2010~!~D1008-B-BDEH~!~4476~!~0,"['Multiple', 'challenges', ',', 'organizations', ',', 'and', 'viewpoints', 'hamper', 'attempts', 'to', 'reverse', 'decline', 'and', 'improve', 'conditions', 'of', 'the', 'Chesapeake', 'Bay', 'and', 'its', 'tributaries', '.']",hamper,What does something hamper?,attempts to reverse decline and improve conditions of the Chesapeake Bay and its tributaries,8:21,7
2010~!~D1008-B-BDEH~!~4476~!~0~!~10~!~reverse~!~3084,2010~!~D1008-B-BDEH~!~4476~!~0,"['Multiple', 'challenges', ',', 'organizations', ',', 'and', 'viewpoints', 'hamper', 'attempts', 'to', 'reverse', 'decline', 'and', 'improve', 'conditions', 'of', 'the', 'Chesapeake', 'Bay', 'and', 'its', 'tributaries', '.']",reverse,What is being reversed?,decline,11:11,10
2010~!~D1008-B-BDEH~!~4476~!~0~!~13~!~improve~!~3085,2010~!~D1008-B-BDEH~!~4476~!~0,"['Multiple', 'challenges', ',', 'organizations', ',', 'and', 'viewpoints', 'hamper', 'attempts', 'to', 'reverse', 'decline', 'and', 'improve', 'conditions', 'of', 'the', 'Chesapeake', 'Bay', 'and', 'its', 'tributaries', '.']",improve,What is being improved?,conditions,14:14,13
2008~!~D0828-A-BDEG~!~4483~!~0~!~1~!~arrived~!~3086,2008~!~D0828-A-BDEG~!~4483~!~0,"['Stewart', 'arrived', 'in', 'good', 'spirits', 'and', 'adjusted', 'well', '.']",arrived,Who arrived?,Stewart,0:0,1
2008~!~D0828-A-BDEG~!~4483~!~0~!~1~!~arrived~!~3087,2008~!~D0828-A-BDEG~!~4483~!~0,"['Stewart', 'arrived', 'in', 'good', 'spirits', 'and', 'adjusted', 'well', '.']",arrived,How did someone arrive?,in good spirits,2:4,1
2008~!~D0828-A-BDEG~!~4483~!~0~!~1~!~arrived~!~3088,2008~!~D0828-A-BDEG~!~4483~!~0,"['Stewart', 'arrived', 'in', 'good', 'spirits', 'and', 'adjusted', 'well', '.']",arrived,What did someone arrive in?,good spirits,3:4,1
2008~!~D0828-A-BDEG~!~4483~!~0~!~6~!~adjusted~!~3089,2008~!~D0828-A-BDEG~!~4483~!~0,"['Stewart', 'arrived', 'in', 'good', 'spirits', 'and', 'adjusted', 'well', '.']",adjusted,Who adjusted?,Stewart,0:0,6
2008~!~D0828-A-BDEG~!~4483~!~0~!~6~!~adjusted~!~3090,2008~!~D0828-A-BDEG~!~4483~!~0,"['Stewart', 'arrived', 'in', 'good', 'spirits', 'and', 'adjusted', 'well', '.']",adjusted,How was someone adjusted?,well,7:7,6
2008~!~D0828-A-BDEG~!~4486~!~3~!~2~!~arrived~!~3091,2008~!~D0828-A-BDEG~!~4486~!~3,"['Martha', 'Stewart', 'arrived', 'in', 'good', 'spirits', 'for', 'her', 'five', '-', 'month', 'term', 'at', 'Alderson', 'Federal', 'Prison', 'Camp', '.']",arrived,Who arrived?,Martha Stewart,0:1,2
2008~!~D0828-A-BDEG~!~4486~!~3~!~2~!~arrived~!~3092,2008~!~D0828-A-BDEG~!~4486~!~3,"['Martha', 'Stewart', 'arrived', 'in', 'good', 'spirits', 'for', 'her', 'five', '-', 'month', 'term', 'at', 'Alderson', 'Federal', 'Prison', 'Camp', '.']",arrived,How did someone arrive?,in good spirits,3:5,2
2008~!~D0828-A-BDEG~!~4486~!~3~!~2~!~arrived~!~3093,2008~!~D0828-A-BDEG~!~4486~!~3,"['Martha', 'Stewart', 'arrived', 'in', 'good', 'spirits', 'for', 'her', 'five', '-', 'month', 'term', 'at', 'Alderson', 'Federal', 'Prison', 'Camp', '.']",arrived,What did someone arrive in?,good spirits,4:5,2
2008~!~D0828-A-BDEG~!~4486~!~3~!~2~!~arrived~!~3094,2008~!~D0828-A-BDEG~!~4486~!~3,"['Martha', 'Stewart', 'arrived', 'in', 'good', 'spirits', 'for', 'her', 'five', '-', 'month', 'term', 'at', 'Alderson', 'Federal', 'Prison', 'Camp', '.']",arrived,Why did someone arrive somewhere?,for her five - month term,6:11,2
2008~!~D0828-A-BDEG~!~4486~!~3~!~2~!~arrived~!~3095,2008~!~D0828-A-BDEG~!~4486~!~3,"['Martha', 'Stewart', 'arrived', 'in', 'good', 'spirits', 'for', 'her', 'five', '-', 'month', 'term', 'at', 'Alderson', 'Federal', 'Prison', 'Camp', '.']",arrived,Where did someone arrive?,at Alderson Federal Prison Camp,12:16,2
2010~!~D1021-A-ABDE~!~4528~!~0~!~6~!~refused~!~3096,2010~!~D1021-A-ABDE~!~4528~!~0,"['Judge', 'Hale', 'Stancil', 'in', 'Marion', 'County', 'refused', 'agreement', 'in', 'December', '2005', '.']",refused,Who refused something?,Judge Hale Stancil,0:2,6
2010~!~D1021-A-ABDE~!~4528~!~0~!~6~!~refused~!~3097,2010~!~D1021-A-ABDE~!~4528~!~0,"['Judge', 'Hale', 'Stancil', 'in', 'Marion', 'County', 'refused', 'agreement', 'in', 'December', '2005', '.']",refused,Where did someone refuse something?,in Marion County,3:5,6
2010~!~D1021-A-ABDE~!~4528~!~0~!~6~!~refused~!~3098,2010~!~D1021-A-ABDE~!~4528~!~0,"['Judge', 'Hale', 'Stancil', 'in', 'Marion', 'County', 'refused', 'agreement', 'in', 'December', '2005', '.']",refused,What did someone refuse?,agreement,7:7,6
2010~!~D1021-A-ABDE~!~4528~!~0~!~6~!~refused~!~3099,2010~!~D1021-A-ABDE~!~4528~!~0,"['Judge', 'Hale', 'Stancil', 'in', 'Marion', 'County', 'refused', 'agreement', 'in', 'December', '2005', '.']",refused,When did someone refuse something?,in December 2005,8:10,6
2010~!~D1021-A-ABDE~!~4528~!~1~!~7~!~change~!~3100,2010~!~D1021-A-ABDE~!~4528~!~1,"['Objections', 'by', 'a', 'Marion', 'County', 'judge', 'may', 'change', 'the', 'plea', 'deal', '.']",change,What might change something?,Objections,0:0,7
2010~!~D1021-A-ABDE~!~4528~!~1~!~7~!~change~!~3101,2010~!~D1021-A-ABDE~!~4528~!~1,"['Objections', 'by', 'a', 'Marion', 'County', 'judge', 'may', 'change', 'the', 'plea', 'deal', '.']",change,What will change something?,Objections by a Marion County judge,0:5,7
2010~!~D1021-A-ABDE~!~4528~!~1~!~7~!~change~!~3102,2010~!~D1021-A-ABDE~!~4528~!~1,"['Objections', 'by', 'a', 'Marion', 'County', 'judge', 'may', 'change', 'the', 'plea', 'deal', '.']",change,What might someone change?,the plea deal,8:10,7
2010~!~D1021-A-ABDE~!~4528~!~2~!~5~!~neighboring~!~3103,2010~!~D1021-A-ABDE~!~4528~!~2,"['However', ',', 'the', 'judge', 'in', 'neighboring', 'Marion', 'county', ',', 'where', 'one', 'of', 'the', 'encounters', 'took', 'place', ',', 'wants', 'more', 'information', 'on', 'a', 'trial', ""'s"", 'impact', 'on', 'the', 'two', 'youth', 'involved', ',', 'thus', 'reopening', 'the', 'investigation', '.']",neighboring,What is neighboring?,Marion county,6:7,5
2010~!~D1021-A-ABDE~!~4528~!~2~!~14~!~took~!~3104,2010~!~D1021-A-ABDE~!~4528~!~2,"['However', ',', 'the', 'judge', 'in', 'neighboring', 'Marion', 'county', ',', 'where', 'one', 'of', 'the', 'encounters', 'took', 'place', ',', 'wants', 'more', 'information', 'on', 'a', 'trial', ""'s"", 'impact', 'on', 'the', 'two', 'youth', 'involved', ',', 'thus', 'reopening', 'the', 'investigation', '.']",took,What took something?,one of the encounters,10:13,14
2010~!~D1021-A-ABDE~!~4528~!~2~!~14~!~took~!~3105,2010~!~D1021-A-ABDE~!~4528~!~2,"['However', ',', 'the', 'judge', 'in', 'neighboring', 'Marion', 'county', ',', 'where', 'one', 'of', 'the', 'encounters', 'took', 'place', ',', 'wants', 'more', 'information', 'on', 'a', 'trial', ""'s"", 'impact', 'on', 'the', 'two', 'youth', 'involved', ',', 'thus', 'reopening', 'the', 'investigation', '.']",took,What did something tyek?,place,15:15,14
2010~!~D1021-A-ABDE~!~4528~!~2~!~17~!~wants~!~3106,2010~!~D1021-A-ABDE~!~4528~!~2,"['However', ',', 'the', 'judge', 'in', 'neighboring', 'Marion', 'county', ',', 'where', 'one', 'of', 'the', 'encounters', 'took', 'place', ',', 'wants', 'more', 'information', 'on', 'a', 'trial', ""'s"", 'impact', 'on', 'the', 'two', 'youth', 'involved', ',', 'thus', 'reopening', 'the', 'investigation', '.']",wants,Who wants something?,the judge,2:3,17
2010~!~D1021-A-ABDE~!~4528~!~2~!~17~!~wants~!~3107,2010~!~D1021-A-ABDE~!~4528~!~2,"['However', ',', 'the', 'judge', 'in', 'neighboring', 'Marion', 'county', ',', 'where', 'one', 'of', 'the', 'encounters', 'took', 'place', ',', 'wants', 'more', 'information', 'on', 'a', 'trial', ""'s"", 'impact', 'on', 'the', 'two', 'youth', 'involved', ',', 'thus', 'reopening', 'the', 'investigation', '.']",wants,What does someone want?,more information,18:19,17
